sourceId,sku,name,qtyBox,qtyPcs,srcLoc,destLoc,trip,expDate,ean
T06A0453-0,BT0064,樂天小熊餅－北海道牛奶風味37g,0,2160,,,6/23-1,2027/06/26                    ,
T06A0471-0,BT9133,LOTTE TOPPO濃厚巧克力口味夾心餅乾棒40g,0,2900,,,6/23-1,2027/07/08                    ,
T06A0533-0,BT0065,樂天小熊餅－家庭號巧克力風味195g,0,480,,,6/23-1,2027/06/12                    ,
T06A0554-0,BT0065,樂天小熊餅－家庭號巧克力風味195g,0,480,,,6/23-1,2027/06/12                    ,
T06B0064-0,BT0065,樂天小熊餅－家庭號巧克力風味195g,0,480,,,6/23-1,2027/06/12                    ,
T06B0084-0,BT0065,樂天小熊餅－家庭號巧克力風味195g,0,480,,,6/23-1,2027/06/12                    ,
T06B0162-0,BT0064,樂天小熊餅－北海道牛奶風味37g,0,1200,,,6/23-1,2027/06/26                    ,
T06a0013-0,DK9075,LOTTE檸檬糖17.5g  FOX PX,0,6720,,,6/23-1,2027/03/16                    ,
T07A0213-0,DK0019,LOTTE Anytime 薄荷三層糖60g,0,1400,,,6/23-1,2027/03/22                    ,
T07A0393-0,BJ9339,LOTTE脆脆巧克力派-濃厚可可風味,0,700,,,6/23-1,2027/02/28                    ,
T07A0454-0,BJ9339,LOTTE脆脆巧克力派-濃厚可可風味,0,700,,,6/23-1,2027/02/28                    ,
T12A0494-0,DK0019,LOTTE Anytime 薄荷三層糖60g,0,1600,,,6/23-1,2027/03/22                    ,
T12B0405-0,DK0019,LOTTE Anytime 薄荷三層糖60g,0,200,,,6/23-1,2027/03/22                    ,
A17A1533-0,XYZ9004,樂天紅色手提袋-白牛大袋,0,2120,,,6/23-2,2031/05/18                    ,
A17B1306-0,XYZ0003,報表-管理部,0,10,,,6/23-2,2028/10/17                    ,
A19A1411-0,DK9088,LOTTE蜜桃糖153g,0,1200,,,6/23-2,2027/03/05                    ,
A19A1431-0,DK9088,LOTTE蜜桃糖153g,0,1200,,,6/23-2,2027/03/05                    ,
A19A1451-0,DK9088,LOTTE蜜桃糖153g,0,1200,,,6/23-2,2027/03/05                    ,
A19A1472-0,DK9088,LOTTE蜜桃糖153g,0,1200,,,6/23-2,2027/03/05                    ,
A19A1491-0,DK9088,LOTTE蜜桃糖153g,0,1200,,,6/23-2,2027/03/05                    ,
A19A1512-0,DK9088,LOTTE蜜桃糖153g,0,1200,,,6/23-2,2027/03/05                    ,
A19A1531-0,DK9088,LOTTE蜜桃糖153g,0,1200,,,6/23-2,2027/03/05                    ,
A19A1551-0,DK9088,LOTTE蜜桃糖153g,0,1200,,,6/23-2,2027/03/05                    ,
A19B1244-0,BK9258,LOTTE巧克力派－香蕉風味(12顆裝),0,480,,,6/23-2,2027/03/26                    ,
A19B1345-0,BK9258,LOTTE巧克力派－香蕉風味(12顆裝),0,480,,,6/23-2,2027/03/26                    ,
A19B1365-0,BK9258,LOTTE巧克力派－香蕉風味(12顆裝),0,480,,,6/23-2,2027/03/26                    ,
A19B1522-0,DK9088,LOTTE蜜桃糖153g,0,1200,,,6/23-2,2027/03/05                    ,
