orderId,sourceId,sku,name,qtyBox,qtyPcs,destLoc,trip,plant,expDate,ean
lotte20260626-1014,,BT0060,樂天小熊餅－巧克力風味37g,45,2160,,6/26-1,A39,2027/05/17,58852008300203
lotte20260626-1015,,BT0060,樂天小熊餅－巧克力風味37g,45,2160,,6/26-1,A39,2027/05/17,58852008300203
lotte20260626-1016,,BT0060,樂天小熊餅－巧克力風味37g,45,2160,,6/26-1,A39,2027/05/17,58852008300203
lotte20260626-1017,,BT0060,樂天小熊餅－巧克力風味37g,45,2160,,6/26-1,A39,2027/05/17,58852008300203
lotte20260626-1018,,BT0060,樂天小熊餅－巧克力風味37g,45,2160,,6/26-1,A39,2027/05/17,58852008300203
lotte20260626-1019,,BT0060,樂天小熊餅－巧克力風味37g,45,2160,,6/26-1,A39,2027/05/17,58852008300203
lotte20260626-1020,,BT0060,樂天小熊餅－巧克力風味37g,45,2191,,6/26-1,A39,2027/05/17,58852008300203
lotte20260626-1021,,BT9125,樂天小熊餅散裝－巧克力風味14g,3,448,,6/26-1,A10,2027/06/19,
lotte20260626-1022,,BT9125,樂天小熊餅散裝－巧克力風味14g,44,6160,,6/26-1,A10,2027/06/24,
lotte20260626-1023,,BT9125,樂天小熊餅散裝－巧克力風味14g,45,6300,,6/26-1,A10,2027/06/24,
lotte20260626-1024,,BT9125,樂天小熊餅散裝－巧克力風味14g,45,6300,,6/26-1,A10,2027/06/24,
lotte20260626-1025,,BT9125,樂天小熊餅散裝－巧克力風味14g,45,6300,,6/26-1,A10,2027/06/24,
lotte20260626-1026,,BT9125,樂天小熊餅散裝－巧克力風味14g,45,6300,,6/26-1,A10,2027/06/24,
lotte20260626-1027,,BT9125,樂天小熊餅散裝－巧克力風味14g,45,6300,,6/26-1,A10,2027/06/24,
lotte20260626-1028,,BT9125,樂天小熊餅散裝－巧克力風味14g,45,6300,,6/26-1,A10,2027/06/24,
lotte20260626-1029,,BT9127,樂天小熊餅散裝－草莓風味12g,26,3640,,6/26-1,A10,2027/08/08,
lotte20260626-1030,,BT9128,樂天小熊餅散裝－濃厚巧克力風味12g,14,1960,,6/26-1,A10,2027/07/06,
lotte20260626-1031,,DK0019,LOTTE Anytime 薄荷三層糖60g,56,1120,,6/26-1,A39,2027/03/22,68801062332115
lotte20260626-1032,,DK9083,LOTTE ZERO零砂糖水果風味軟糖量販包,21,378,,6/26-1,A39,2027/01/25,18801062865656
lotte20260626-1033,,DK9083,LOTTE ZERO零砂糖水果風味軟糖量販包,25,450,,6/26-1,A39,2027/01/25,18801062865656
lotte20260626-1034,,DK9090,LOTTE ZERO零砂糖香柚風味軟糖量販包238g,28,504,,6/26-1,A39,2027/03/04,18802259022661
lotte20260626-1035,,DK9090,LOTTE ZERO零砂糖香柚風味軟糖量販包238g,30,540,,6/26-1,A39,2027/03/04,18802259022661
lotte20260626-2001,,BJ9450,樂天千層派分享包－雙重牛奶糖風味,10,180,,6/26-2,A37,2026/10/31,14903333260109
lotte20260626-2002,,BJ9450,樂天千層派分享包－雙重牛奶糖風味,18,324,,6/26-2,A37,2026/10/31,14903333260109
lotte20260626-2003,,BJ9450,樂天千層派分享包－雙重牛奶糖風味,18,324,,6/26-2,A37,2026/10/31,14903333260109
lotte20260626-2004,,BJ9450,樂天千層派分享包－雙重牛奶糖風味,18,324,,6/26-2,A37,2026/10/31,14903333260109
lotte20260626-2005,,BJ9450,樂天千層派分享包－雙重牛奶糖風味,18,324,,6/26-2,A37,2026/10/31,14903333260109
lotte20260626-2006,,BJ9450,樂天千層派分享包－雙重牛奶糖風味,18,324,,6/26-2,A37,2026/10/31,14903333260109
lotte20260626-2007,,GW0131,樂天小熊餅美味分享組,6,76,,6/26-2,A37,2027/01/21,04712834456828
lotte20260626-2008,,GW0131,樂天小熊餅美味分享組,16,192,,6/26-2,A37,2027/01/21,04712834456828
lotte20260626-2009,,GW0131,樂天小熊餅美味分享組,32,384,,6/26-2,A37,2027/01/21,04712834456828
lotte20260626-2010,,GW0131,樂天小熊餅美味分享組,32,384,,6/26-2,A37,2027/01/21,04712834456828
lotte20260626-2011,,GW0131,樂天小熊餅美味分享組,32,384,,6/26-2,A37,2027/01/21,04712834456828
lotte20260626-2012,,GW0131,樂天小熊餅美味分享組,32,384,,6/26-2,A37,2027/01/21,04712834456828
lotte20260626-2013,,GW0131,樂天小熊餅美味分享組,32,384,,6/26-2,A37,2027/01/21,04712834456828
lotte20260626-2014,,GW0131,樂天小熊餅美味分享組,32,384,,6/26-2,A37,2027/01/21,04712834456828
lotte20260626-2015,,GW0131,樂天小熊餅美味分享組,32,384,,6/26-2,A37,2027/01/21,04712834456828
lotte20260626-2016,,GW0173,樂天小熊餅置物籃組,60,60,,6/26-2,A37,2026/09/07,4712834457344
lotte20260626-2017,,GW0173,樂天小熊餅置物籃組,60,60,,6/26-2,A37,2026/09/07,4712834457344
lotte20260626-2018,,GW0173,樂天小熊餅置物籃組,60,60,,6/26-2,A37,2026/09/07,4712834457344
