# Generated: 2026-06-19 13:10:22
# Total rows: 187
# Data source: ALLY_LOTTE_QR_PRINTER_v8.3.html embedded PALLET_DATA
# Issues found:
# - Row 177 (Board 177): SKU 'DK9075' missing from ITEM_MASTER - requires user verification
# Note: destLocation may be "TBD" pending binding table from user

sourceId,sku,品名,箱數,件數,國際條碼,上架儲位,來源儲位,效期,趟次,棧板號,入庫單號
LOTTE-20260622-622_1-083,BT0065,樂天小熊餅－家庭號巧克力風味195g,48,480,5 885 2008 30026 5,BI012,A19B1623-0,2027/07/01,Regular-1,108,20260622-108
LOTTE-20260622-622_1-084,BT0065,樂天小熊餅－家庭號巧克力風味195g,48,480,5 885 2008 30026 5,BI012,B03A0272-0,2027/07/01,Regular-1,109,20260622-109
LOTTE-20260622-622_1-086,BT0065,樂天小熊餅－家庭號巧克力風味195g,48,480,5 885 2008 30026 5,BI012,B03A0352-0,2027/06/12,Regular-1,110,20260622-110
LOTTE-20260622-622_1-088,BT0065,樂天小熊餅－家庭號巧克力風味195g,56,560,5 885 2008 30026 5,BI012,B03A0375-0,2027/07/01,Regular-1,111,20260622-111
LOTTE-20260622-622_1-089,BT0065,樂天小熊餅－家庭號巧克力風味195g,48,480,5 885 2008 30026 5,BI012,B03A0392-0,2027/06/12,Regular-1,112,20260622-112
LOTTE-20260622-622_1-091,BT0066,樂天小熊餅－家庭號草莓風味195g,48,480,5 885 2008 30029 6,BI012,B03A0512-0,2027/07/08,Regular-1,113,20260622-113
LOTTE-20260622-622_1-092,BT0066,樂天小熊餅－家庭號草莓風味195g,48,480,5 885 2008 30029 6,BI012,B03A0554-0,2027/07/08,Regular-1,114,20260622-114
LOTTE-20260622-622_1-104,BT0065,樂天小熊餅－家庭號巧克力風味195g,48,480,5 885 2008 30026 5,BI012,B03A0854-0,2027/06/12,Regular-1,115,20260622-115
LOTTE-20260622-622_1-106,BT0065,樂天小熊餅－家庭號巧克力風味195g,48,480,5 885 2008 30026 5,BI012,B03A0892-0,2027/06/12,Regular-1,116,20260622-116
LOTTE-20260622-622_1-109,BT0065,樂天小熊餅－家庭號巧克力風味195g,48,480,5 885 2008 30026 5,BI012,B03B0403-0,2027/07/01,Regular-1,117,20260622-117
