廠商統編,廠商聯絡人,電話,日期,時段,採購單號,來源單號,主檔備註,品號,品名,數量,製造日期,有效期,批號,商品條碼,群品,明細備註,入倉單號,虛擬倉,庫存等級,版本號,原因代碼
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-2-074,,BV0006,LOTTE巧克力布雪蛋糕－經典起司口味(12顆裝),480,,2027/03/20,,,良品,儲A19A1571-0|棧一般木頭|6/22-2,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-1-075,,BT0065,樂天小熊餅－家庭號巧克力風味195g,480,,2027/06/16,,,良品,儲A19A1573-0|棧塑膠寬|6/22-1,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-1-076,,BT0065,樂天小熊餅－家庭號巧克力風味195g,480,,2027/07/01,,,良品,儲A19A1574-0|棧塑膠寬|6/22-1,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-2-077,,BV0006,LOTTE巧克力布雪蛋糕－經典起司口味(12顆裝),480,,2027/03/20,,,良品,儲A19A1591-0|棧一般木頭|6/22-2,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-1-078,,BT0065,樂天小熊餅－家庭號巧克力風味195g,480,,2027/06/16,,,良品,儲A19A1593-0|棧塑膠寬|6/22-1,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-1-079,,BT0065,樂天小熊餅－家庭號巧克力風味195g,480,,2027/06/16,,,良品,儲A19A1613-0|棧塑膠寬|6/22-1,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-1-080,,BT0065,樂天小熊餅－家庭號巧克力風味195g,480,,2027/06/16,,,良品,儲A19A1614-0|棧塑膠寬|6/22-1,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-1-081,,BT0065,樂天小熊餅－家庭號巧克力風味195g,400,,2027/07/01,,,良品,儲A19B1584-0|棧塑膠寬|6/22-1,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-1-082,,BT0065,樂天小熊餅－家庭號巧克力風味195g,80,,2027/06/16,,,良品,儲A19B1605-0|棧塑膠寬|6/22-1,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-1-083,,BT0065,樂天小熊餅－家庭號巧克力風味195g,480,,2027/07/01,,,良品,儲A19B1623-0|棧塑膠寬|6/22-1,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-1-084,,BT0065,樂天小熊餅－家庭號巧克力風味195g,480,,2027/07/01,,,良品,儲B03A0272-0|棧塑膠寬|6/22-1,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-2-085,,BV0005,LOTTE巧克力布雪蛋糕－經典起司口味(6顆裝),960,,2027/04/21,,,良品,儲B03A0332-0|棧一般木頭|6/22-2,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-1-086,,BT0065,樂天小熊餅－家庭號巧克力風味195g,480,,2027/06/12,,,良品,儲B03A0352-0|棧中華紅板|6/22-1,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-2-087,,BV0005,LOTTE巧克力布雪蛋糕－經典起司口味(6顆裝),960,,2027/04/21,,,良品,儲B03A0372-0|棧一般木頭|6/22-2,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-1-088,,BT0065,樂天小熊餅－家庭號巧克力風味195g,560,,2027/07/01,,,良品,儲B03A0375-0|棧一般木頭|6/22-1,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-1-089,,BT0065,樂天小熊餅－家庭號巧克力風味195g,480,,2027/06/12,,,良品,儲B03A0392-0|棧中華紅板|6/22-1,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-2-090,,BV0005,LOTTE巧克力布雪蛋糕－經典起司口味(6顆裝),960,,2027/04/21,,,良品,儲B03A0413-0|棧一般木頭|6/22-2,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-1-091,,BT0066,樂天小熊餅－家庭號草莓風味195g,480,,2027/07/08,,,良品,儲B03A0512-0|棧塑膠寬|6/22-1,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-1-092,,BT0066,樂天小熊餅－家庭號草莓風味195g,480,,2027/07/08,,,良品,儲B03A0554-0|棧塑膠寬|6/22-1,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-3-093,,BV0007,LOTTE巧克力布雪蛋糕(6顆裝),960,,2027/04/14,,,良品,儲B03A0695-0|棧一般木頭|6/22-3,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-3-094,,BV0007,LOTTE巧克力布雪蛋糕(6顆裝),960,,2027/04/14,,,良品,儲B03A0712-0|棧一般木頭|6/22-3,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-3-095,,BV0007,LOTTE巧克力布雪蛋糕(6顆裝),960,,2027/04/14,,,良品,儲B03A0713-0|棧一般木頭|6/22-3,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-3-096,,BV0007,LOTTE巧克力布雪蛋糕(6顆裝),960,,2027/04/14,,,良品,儲B03A0715-0|棧一般木頭|6/22-3,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-3-097,,BV0007,LOTTE巧克力布雪蛋糕(6顆裝),960,,2027/04/14,,,良品,儲B03A0732-0|棧一般木頭|6/22-3,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-3-098,,BV0007,LOTTE巧克力布雪蛋糕(6顆裝),960,,2027/04/14,,,良品,儲B03A0733-0|棧一般木頭|6/22-3,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-3-099,,BV0007,LOTTE巧克力布雪蛋糕(6顆裝),960,,2027/04/14,,,良品,儲B03A0735-0|棧一般木頭*2|6/22-3,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-3-100,,BV0007,LOTTE巧克力布雪蛋糕(6顆裝),960,,2027/04/14,,,良品,儲B03A0752-0|棧一般木頭|6/22-3,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-3-101,,BV0007,LOTTE巧克力布雪蛋糕(6顆裝),960,,2027/04/14,,,良品,儲B03A0772-0|棧一般木頭|6/22-3,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-3-102,,BV0007,LOTTE巧克力布雪蛋糕(6顆裝),960,,2027/04/14,,,良品,儲B03A0773-0|棧一般木頭|6/22-3,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-3-103,,BV0007,LOTTE巧克力布雪蛋糕(6顆裝),960,,2027/04/14,,,良品,儲B03A0774-0|棧一般木頭|6/22-3,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-1-104,,BT0065,樂天小熊餅－家庭號巧克力風味195g,480,,2027/06/12,,,良品,儲B03A0854-0|棧塑膠寬|6/22-1,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-3-105,,BV0007,LOTTE巧克力布雪蛋糕(6顆裝),960,,2027/04/14,,,良品,儲B03A0875-0|棧一般木頭|6/22-3,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-1-106,,BT0065,樂天小熊餅－家庭號巧克力風味195g,480,,2027/06/12,,,良品,儲B03A0892-0|棧塑膠寬|6/22-1,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-3-107,,BV0007,LOTTE巧克力布雪蛋糕(6顆裝),960,,2027/04/14,,,良品,儲B03B0382-0|棧一般木頭|6/22-3,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-2-108,,BV0005,LOTTE巧克力布雪蛋糕－經典起司口味(6顆裝),960,,2027/04/21,,,良品,儲B03B0402-0|棧一般木頭|6/22-2,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-1-109,,BT0065,樂天小熊餅－家庭號巧克力風味195g,480,,2027/07/01,,,良品,儲B03B0403-0|棧塑膠寬|6/22-1,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-1-110,,BT0065,樂天小熊餅－家庭號巧克力風味195g,480,,2027/07/01,,,良品,儲B03B0405-0|棧塑膠寬|6/22-1,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-3-111,,BV0007,LOTTE巧克力布雪蛋糕(6顆裝),960,,2027/04/14,,,良品,儲B03B0422-0|棧一般木頭|6/22-3,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-1-112,,BT0066,樂天小熊餅－家庭號草莓風味195g,480,,2027/07/08,,,良品,儲B03B0522-0|棧一般木頭|6/22-1,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-3-113,,BV0007,LOTTE巧克力布雪蛋糕(6顆裝),960,,2027/04/14,,,良品,儲B03B0542-0|棧塑膠寬|6/22-3,,A37,,,
