sourceId	sku	name	qtyBox	qtyPcs	destLocation
LOTTE-20260622-622_2-148	BV0005	LOTTE巧克力布雪蛋糕－經典起司口味(6顆裝)	60	960	BI012
LOTTE-20260622-622_2-151	BV0006	LOTTE巧克力布雪蛋糕－經典起司口味(12顆裝)	50	400	BI012
LOTTE-20260622-622_2-152	BV0006	LOTTE巧克力布雪蛋糕－經典起司口味(12顆裝)	20	160	BI012
LOTTE-20260622-622_2-153	BV0006	LOTTE巧克力布雪蛋糕－經典起司口味(12顆裝)	80	640	BI012
LOTTE-20260622-622_2-154	BV0006	LOTTE巧克力布雪蛋糕－經典起司口味(12顆裝)	70	560	BI012
LOTTE-20260622-622_1-057	BT0068	樂天小熊餅家庭號－濃黑巧克力風味195g	48	480	BI012
LOTTE-20260622-622_1-062	BT0068	樂天小熊餅家庭號－濃黑巧克力風味195g	48	480	BI012
LOTTE-20260622-622_1-063	BT0068	樂天小熊餅家庭號－濃黑巧克力風味195g	48	480	BI012
LOTTE-20260622-622_1-065	BT0065	樂天小熊餅－家庭號巧克力風味195g	48	480	BI012
LOTTE-20260622-622_1-066	BT0065	樂天小熊餅－家庭號巧克力風味195g	48	480	BI012
LOTTE-20260622-622_1-067	BT0065	樂天小熊餅－家庭號巧克力風味195g	48	480	BI012
LOTTE-20260622-622_1-068	BT0065	樂天小熊餅－家庭號巧克力風味195g	48	480	BI012
LOTTE-20260622-622_1-069	BT0065	樂天小熊餅－家庭號巧克力風味195g	48	480	BI012
LOTTE-20260622-622_1-071	BT0065	樂天小熊餅－家庭號巧克力風味195g	48	480	BI012
LOTTE-20260622-622_1-072	BT0065	樂天小熊餅－家庭號巧克力風味195g	48	480	BI012
LOTTE-20260622-622_1-073	BT0065	樂天小熊餅－家庭號巧克力風味195g	48	480	BI012
LOTTE-20260622-622_1-075	BT0065	樂天小熊餅－家庭號巧克力風味195g	48	480	BI012
LOTTE-20260622-622_1-076	BT0065	樂天小熊餅－家庭號巧克力風味195g	48	480	BI012
LOTTE-20260622-622_1-078	BT0065	樂天小熊餅－家庭號巧克力風味195g	48	480	BI012
LOTTE-20260622-622_1-079	BT0065	樂天小熊餅－家庭號巧克力風味195g	48	480	BI012
LOTTE-20260622-622_1-080	BT0065	樂天小熊餅－家庭號巧克力風味195g	48	480	BI012
LOTTE-20260622-622_1-081	BT0065	樂天小熊餅－家庭號巧克力風味195g	40	400	BI012
LOTTE-20260622-622_1-082	BT0065	樂天小熊餅－家庭號巧克力風味195g	8	80	BI012
LOTTE-20260622-622_1-083	BT0065	樂天小熊餅－家庭號巧克力風味195g	48	480	BI012
LOTTE-20260622-622_1-084	BT0065	樂天小熊餅－家庭號巧克力風味195g	48	480	BI012
LOTTE-20260622-622_1-086	BT0065	樂天小熊餅－家庭號巧克力風味195g	48	480	BI012
LOTTE-20260622-622_1-088	BT0065	樂天小熊餅－家庭號巧克力風味195g	56	560	BI012
LOTTE-20260622-622_1-089	BT0065	樂天小熊餅－家庭號巧克力風味195g	48	480	BI012
LOTTE-20260622-622_1-091	BT0066	樂天小熊餅－家庭號草莓風味195g	48	480	BI012
LOTTE-20260622-622_1-092	BT0066	樂天小熊餅－家庭號草莓風味195g	48	480	BI012
LOTTE-20260622-622_1-104	BT0065	樂天小熊餅－家庭號巧克力風味195g	48	480	BI012
LOTTE-20260622-622_1-106	BT0065	樂天小熊餅－家庭號巧克力風味195g	48	480	BI012
LOTTE-20260622-622_1-109	BT0065	樂天小熊餅－家庭號巧克力風味195g	48	480	BI012
LOTTE-20260622-622_1-110	BT0065	樂天小熊餅－家庭號巧克力風味195g	48	480	BI012
LOTTE-20260622-622_1-112	BT0066	樂天小熊餅－家庭號草莓風味195g	48	480	BI012
LOTTE-20260622-622_1-114	BT0066	樂天小熊餅－家庭號草莓風味195g	48	480	BI012
LOTTE-20260622-622_1-115	BT0066	樂天小熊餅－家庭號草莓風味195g	48	480	BI012
LOTTE-20260622-622_1-117	BT0065	樂天小熊餅－家庭號巧克力風味195g	48	480	BI012
LOTTE-20260622-622_3-093	BV0007	LOTTE巧克力布雪蛋糕(6顆裝)	60	960	BI012
LOTTE-20260622-622_3-094	BV0007	LOTTE巧克力布雪蛋糕(6顆裝)	60	960	BI012
LOTTE-20260622-622_3-095	BV0007	LOTTE巧克力布雪蛋糕(6顆裝)	60	960	BI012
LOTTE-20260622-622_3-096	BV0007	LOTTE巧克力布雪蛋糕(6顆裝)	60	960	BI012
LOTTE-20260622-622_3-097	BV0007	LOTTE巧克力布雪蛋糕(6顆裝)	60	960	BI012
LOTTE-20260622-622_3-098	BV0007	LOTTE巧克力布雪蛋糕(6顆裝)	60	960	BI012
LOTTE-20260622-622_3-099	BV0007	LOTTE巧克力布雪蛋糕(6顆裝)	60	960	BI012
LOTTE-20260622-622_3-100	BV0007	LOTTE巧克力布雪蛋糕(6顆裝)	60	960	BI012
LOTTE-20260622-622_3-101	BV0007	LOTTE巧克力布雪蛋糕(6顆裝)	60	960	BI012
LOTTE-20260622-622_3-102	BV0007	LOTTE巧克力布雪蛋糕(6顆裝)	60	960	BI012
LOTTE-20260622-622_3-103	BV0007	LOTTE巧克力布雪蛋糕(6顆裝)	60	960	BI012
LOTTE-20260622-622_3-105	BV0007	LOTTE巧克力布雪蛋糕(6顆裝)	60	960	BI012
LOTTE-20260622-622_3-107	BV0007	LOTTE巧克力布雪蛋糕(6顆裝)	60	960	BI012
LOTTE-20260622-622_3-111	BV0007	LOTTE巧克力布雪蛋糕(6顆裝)	60	960	BI012
LOTTE-20260622-622_3-113	BV0007	LOTTE巧克力布雪蛋糕(6顆裝)	60	960	BI012
LOTTE-20260622-622_3-116	BV0007	LOTTE巧克力布雪蛋糕(6顆裝)	60	960	BI012
LOTTE-20260622-622_3-119	BV0007	LOTTE巧克力布雪蛋糕(6顆裝)	20	320	BI012
LOTTE-20260622-622_3-122	BV0007	LOTTE巧克力布雪蛋糕(6顆裝)	60	960	BI012
LOTTE-20260622-622_3-136	BV0011	LOTTE巧克力派－日式抹茶口味(12顆裝)	60	480	BI012
LOTTE-20260622-622_3-137	BV0007	LOTTE巧克力布雪蛋糕(6顆裝)	60	960	BI012
LOTTE-20260622-622_3-138	BV0011	LOTTE巧克力派－日式抹茶口味(12顆裝)	60	480	BI012
LOTTE-20260622-622_3-139	BV0011	LOTTE巧克力派－日式抹茶口味(12顆裝)	60	480	BI012
LOTTE-20260622-622_3-140	BV0011	LOTTE巧克力派－日式抹茶口味(12顆裝)	60	480	BI012
LOTTE-20260622-622_3-141	BV0011	LOTTE巧克力派－日式抹茶口味(12顆裝)	60	480	BI012
LOTTE-20260622-622_3-142	BV0011	LOTTE巧克力派－日式抹茶口味(12顆裝)	60	480	BI012
LOTTE-20260622-622_3-143	BV0011	LOTTE巧克力派－日式抹茶口味(12顆裝)	60	480	BI012
LOTTE-20260622-622_3-144	BV0011	LOTTE巧克力派－日式抹茶口味(12顆裝)	60	480	BI012
LOTTE-20260622-622_3-145	BV0011	LOTTE巧克力派－日式抹茶口味(12顆裝)	60	480	BI012
LOTTE-20260622-622_3-146	BV0011	LOTTE巧克力派－日式抹茶口味(12顆裝)	20	160	BI012
LOTTE-20260622-622_3-147	BV0011	LOTTE巧克力派－日式抹茶口味(12顆裝)	60	480	BI012
LOTTE-20260622-622_3-149	BV0007	LOTTE巧克力布雪蛋糕(6顆裝)	60	960	BI012
LOTTE-20260622-622_3-150	BV0011	LOTTE巧克力派－日式抹茶口味(12顆裝)	60	480	BI013
LOTTE-20260622-622_4-155	DK9051	LOTTE 青葡萄糖153g	60	1200	BI013
LOTTE-20260622-622_4-156	DK9051	LOTTE 青葡萄糖153g	60	1200	BI013
LOTTE-20260622-622_4-157	DK9051	LOTTE 青葡萄糖153g	60	1200	BI013
LOTTE-20260622-622_4-158	DK9051	LOTTE 青葡萄糖153g	60	1200	BI013
LOTTE-20260622-622_4-159	DK9051	LOTTE 青葡萄糖153g	60	1200	BI013
LOTTE-20260622-622_4-160	DK9051	LOTTE 青葡萄糖153g	60	1200	BI013
LOTTE-20260622-622_4-161	DK9051	LOTTE 青葡萄糖153g	60	1200	BI013
LOTTE-20260622-622_4-162	DK9051	LOTTE 青葡萄糖153g	60	1200	BI013
LOTTE-20260622-622_4-163	DK9051	LOTTE 青葡萄糖153g	60	1200	BI013
LOTTE-20260622-622_4-164	DK9051	LOTTE 青葡萄糖153g	60	1200	BI013
LOTTE-20260622-622_4-165	DK9051	LOTTE 青葡萄糖153g	60	1200	BI013
LOTTE-20260622-622_4-166	DK9051	LOTTE 青葡萄糖153g	60	1200	BI013
LOTTE-20260622-622_4-167	DK9051	LOTTE 青葡萄糖153g	60	1200	BI013
LOTTE-20260622-622_4-168	DK9051	LOTTE 青葡萄糖153g	60	1200	BI013
LOTTE-20260622-622_4-169	DK9051	LOTTE 青葡萄糖153g	60	1200	BI013
LOTTE-20260622-622_4-170	DK9051	LOTTE 青葡萄糖153g	60	1200	BI013
LOTTE-20260622-622_4-171	DK9051	LOTTE 青葡萄糖153g	60	1200	BI013
LOTTE-20260622-622_4-172	DK9012	LOTTE檸檬糖17.5g	6	288	BI013
LOTTE-20260622-622_4-173	DK9012	LOTTE檸檬糖17.5g	57	2736	BI013
LOTTE-20260622-622_4-174	DK9012	LOTTE檸檬糖17.5g	140	6720	BI013
LOTTE-20260622-622_4-175	DK9012	LOTTE檸檬糖17.5g	140	6720	BI013
LOTTE-20260622-622_4-176	DK9012	LOTTE檸檬糖17.5g	140	6720	BI013
LOTTE-20260622-622_4-177	DK9075	LOTTE檸檬糖17.5g  FOX PX	140	6720	BI013
LOTTE-20260622-622_4-178	DK9051	LOTTE 青葡萄糖153g	36	720	BI013
LOTTE-20260622-622_4-179	DK9051	LOTTE 青葡萄糖153g	28	560	BI013
LOTTE-20260622-622_4-180	DK9051	LOTTE 青葡萄糖153g	42	840	BI013
LOTTE-20260622-622_4-181	DK9051	LOTTE 青葡萄糖153g	42	840	BI013
LOTTE-20260622-622_4-182	DK9051	LOTTE 青葡萄糖153g	42	840	BI013
LOTTE-20260622-622_4-183	DK9051	LOTTE 青葡萄糖153g	42	840	BI013
LOTTE-20260622-622_4-184	DK9051	LOTTE 青葡萄糖153g	42	840	BI013
LOTTE-20260622-622_4-185	DK9051	LOTTE 青葡萄糖153g	42	840	BI013
LOTTE-20260622-622_4-186	DK9051	LOTTE 青葡萄糖153g	42	840	BI013
LOTTE-20260622-622_4-187	DK9051	LOTTE 青葡萄糖153g	42	840	BI013
